Flight Distance,Outliers (Qurtile function),Outliers (Use Mean & Standard Deviation),,1. Mean of Column Data,,
3880,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
2888,TRUE,TRUE,,,,
290,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
2129,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
3556,TRUE,TRUE,,,,
3098,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
2136,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
3756,TRUE,TRUE,,,,
3175,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
290,TRUE,TRUE,,,,
2376,TRUE,TRUE,,,,
1828,TRUE,TRUE,,,,
3728,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
290,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
290,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
290,TRUE,TRUE,,,,
290,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
290,TRUE,TRUE,,,,
290,TRUE,TRUE,,,,
290,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
1957,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
3242,TRUE,TRUE,,,,
719,TRUE,TRUE,,,,
719,TRUE,TRUE,,,,
719,TRUE,TRUE,,,,
3477,TRUE,TRUE,,,,
2689,TRUE,TRUE,,,,
719,TRUE,TRUE,,,,
719,TRUE,TRUE,,,,
719,TRUE,TRUE,,,,
2903,TRUE,TRUE,,,,
719,TRUE,TRUE,,,,
719,TRUE,TRUE,,,,
719,TRUE,TRUE,,,,
319,TRUE,TRUE,,,,
719,TRUE,TRUE,,,,
719,TRUE,TRUE,,,,
719,TRUE,TRUE,,,,
719,TRUE,TRUE,,,,
719,TRUE,TRUE,,,,
3800,TRUE,TRUE,,,,
612,TRUE,TRUE,,,,
612,TRUE,TRUE,,,,
1708,TRUE,TRUE,,,,
612,TRUE,TRUE,,,,
612,TRUE,TRUE,,,,
612,TRUE,TRUE,,,,
802,TRUE,TRUE,,,,
802,TRUE,TRUE,,,,
3967,TRUE,TRUE,,,,
825,TRUE,TRUE,,,,
2770,TRUE,TRUE,,,,
2026,TRUE,TRUE,,,,
802,TRUE,TRUE,,,,
802,TRUE,TRUE,,,,
802,TRUE,TRUE,,,,
802,TRUE,TRUE,,,,
802,TRUE,TRUE,,,,
3357,TRUE,TRUE,,,,
802,TRUE,TRUE,,,,
3044,TRUE,TRUE,,,,
402,TRUE,TRUE,,,,
402,TRUE,TRUE,,,,
802,TRUE,TRUE,,,,
825,TRUE,TRUE,,,,
825,TRUE,TRUE,,,,
825,TRUE,TRUE,,,,
825,TRUE,TRUE,,,,
802,TRUE,TRUE,,,,
802,TRUE,TRUE,,,,
825,TRUE,TRUE,,,,
802,TRUE,TRUE,,,,
3433,TRUE,TRUE,,,,
802,TRUE,TRUE,,,,
825,TRUE,TRUE,,,,
1250,TRUE,TRUE,,,,
2718,TRUE,TRUE,,,,
1250,TRUE,TRUE,,,,
1517,TRUE,TRUE,,,,
1250,TRUE,TRUE,,,,
1250,TRUE,TRUE,,,,
2262,TRUE,TRUE,,,,
590,TRUE,TRUE,,,,
590,TRUE,TRUE,,,,
590,TRUE,TRUE,,,,
590,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
3183,TRUE,TRUE,,,,
1895,TRUE,TRUE,,,,
2204,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
2146,TRUE,TRUE,,,,
853,TRUE,TRUE,,,,
853,TRUE,TRUE,,,,
2180,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
3206,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
2160,TRUE,TRUE,,,,
3380,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
853,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
853,TRUE,TRUE,,,,
3109,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
3674,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
3845,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
3344,TRUE,TRUE,,,,
3954,TRUE,TRUE,,,,
3293,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
453,TRUE,TRUE,,,,
421,TRUE,TRUE,,,,
421,TRUE,TRUE,,,,
421,TRUE,TRUE,,,,
421,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
853,TRUE,TRUE,,,,
853,TRUE,TRUE,,,,
853,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
853,TRUE,TRUE,,,,
853,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
853,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
853,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
853,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
3431,TRUE,TRUE,,,,
113,TRUE,TRUE,,,,
229,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
1869,TRUE,TRUE,,,,
113,TRUE,TRUE,,,,
1924,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
354,TRUE,TRUE,,,,
2366,TRUE,TRUE,,,,
3770,TRUE,TRUE,,,,
482,TRUE,TRUE,,,,
3579,TRUE,TRUE,,,,
2169,TRUE,TRUE,,,,
2895,TRUE,TRUE,,,,
2235,TRUE,TRUE,,,,
270,TRUE,TRUE,,,,
3628,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
1507,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
1987,TRUE,TRUE,,,,
3442,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
229,TRUE,TRUE,,,,
2759,TRUE,TRUE,,,,
2722,TRUE,TRUE,,,,
2848,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
3432,TRUE,TRUE,,,,
1954,TRUE,TRUE,,,,
1938,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
140,TRUE,TRUE,,,,
3325,TRUE,TRUE,,,,
3838,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
1818,TRUE,TRUE,,,,
3824,TRUE,TRUE,,,,
1661,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
3169,TRUE,TRUE,,,,
229,TRUE,TRUE,,,,
3687,TRUE,TRUE,,,,
2739,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
1822,TRUE,TRUE,,,,
3458,TRUE,TRUE,,,,
229,TRUE,TRUE,,,,
3915,TRUE,TRUE,,,,
2474,TRUE,TRUE,,,,
270,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
140,TRUE,TRUE,,,,
312,TRUE,TRUE,,,,
3957,TRUE,TRUE,,,,
270,TRUE,TRUE,,,,
3873,TRUE,TRUE,,,,
3800,TRUE,TRUE,,,,
1770,TRUE,TRUE,,,,
113,TRUE,TRUE,,,,
1654,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
140,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
396,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
282,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
396,TRUE,TRUE,,,,
229,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
3060,TRUE,TRUE,,,,
2978,TRUE,TRUE,,,,
354,TRUE,TRUE,,,,
2607,TRUE,TRUE,,,,
282,TRUE,TRUE,,,,
1804,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
3409,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
312,TRUE,TRUE,,,,
3145,TRUE,TRUE,,,,
3310,TRUE,TRUE,,,,
3945,TRUE,TRUE,,,,
113,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
1911,TRUE,TRUE,,,,
2227,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
2500,TRUE,TRUE,,,,
229,TRUE,TRUE,,,,
396,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
3730,TRUE,TRUE,,,,
1568,TRUE,TRUE,,,,
3617,TRUE,TRUE,,,,
1634,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
113,TRUE,TRUE,,,,
1760,TRUE,TRUE,,,,
1681,TRUE,TRUE,,,,
3517,TRUE,TRUE,,,,
3490,TRUE,TRUE,,,,
1595,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
482,TRUE,TRUE,,,,
2553,TRUE,TRUE,,,,
1528,TRUE,TRUE,,,,
2540,TRUE,TRUE,,,,
354,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
2752,TRUE,TRUE,,,,
229,TRUE,TRUE,,,,
2884,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
3621,TRUE,TRUE,,,,
3008,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
3603,TRUE,TRUE,,,,
2541,TRUE,TRUE,,,,
2469,TRUE,TRUE,,,,
354,TRUE,TRUE,,,,
1549,TRUE,TRUE,,,,
3598,TRUE,TRUE,,,,
2068,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
3003,TRUE,TRUE,,,,
1709,TRUE,TRUE,,,,
3690,TRUE,TRUE,,,,
2241,TRUE,TRUE,,,,
354,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
140,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
1935,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
396,TRUE,TRUE,,,,
2938,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
3418,TRUE,TRUE,,,,
3425,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
1827,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
2526,TRUE,TRUE,,,,
1665,TRUE,TRUE,,,,
2055,TRUE,TRUE,,,,
3462,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
1956,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
3983,TRUE,TRUE,,,,
3437,TRUE,TRUE,,,,
2298,TRUE,TRUE,,,,
2494,TRUE,TRUE,,,,
312,TRUE,TRUE,,,,
3460,TRUE,TRUE,,,,
3904,TRUE,TRUE,,,,
3498,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
113,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
3447,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
3514,TRUE,TRUE,,,,
3057,TRUE,TRUE,,,,
2398,TRUE,TRUE,,,,
3594,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
3447,TRUE,TRUE,,,,
2560,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
1588,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
3235,TRUE,TRUE,,,,
2145,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
312,TRUE,TRUE,,,,
2947,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
113,TRUE,TRUE,,,,
282,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
113,TRUE,TRUE,,,,
2703,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
2414,TRUE,TRUE,,,,
1598,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
282,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
2883,TRUE,TRUE,,,,
3424,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
2694,TRUE,TRUE,,,,
1507,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
1633,TRUE,TRUE,,,,
229,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
3100,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
3269,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
2939,TRUE,TRUE,,,,
2797,TRUE,TRUE,,,,
270,TRUE,TRUE,,,,
396,TRUE,TRUE,,,,
270,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
2100,TRUE,TRUE,,,,
3643,TRUE,TRUE,,,,
2557,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
2311,TRUE,TRUE,,,,
3534,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
2145,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
1586,TRUE,TRUE,,,,
140,TRUE,TRUE,,,,
312,TRUE,TRUE,,,,
1936,TRUE,TRUE,,,,
2521,TRUE,TRUE,,,,
229,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
1766,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
2073,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
3903,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
3785,TRUE,TRUE,,,,
113,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
2554,TRUE,TRUE,,,,
229,TRUE,TRUE,,,,
3123,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
282,TRUE,TRUE,,,,
3585,TRUE,TRUE,,,,
2216,TRUE,TRUE,,,,
3931,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
3811,TRUE,TRUE,,,,
1535,TRUE,TRUE,,,,
396,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
3593,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
229,TRUE,TRUE,,,,
482,TRUE,TRUE,,,,
2369,TRUE,TRUE,,,,
2556,TRUE,TRUE,,,,
312,TRUE,TRUE,,,,
3824,TRUE,TRUE,,,,
1940,TRUE,TRUE,,,,
229,TRUE,TRUE,,,,
2360,TRUE,TRUE,,,,
3574,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
3712,TRUE,TRUE,,,,
2620,TRUE,TRUE,,,,
229,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
229,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
3893,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
2525,TRUE,TRUE,,,,
2929,TRUE,TRUE,,,,
113,TRUE,TRUE,,,,
113,TRUE,TRUE,,,,
229,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
3640,TRUE,TRUE,,,,
3259,TRUE,TRUE,,,,
3552,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
282,TRUE,TRUE,,,,
1988,TRUE,TRUE,,,,
3102,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
3625,TRUE,TRUE,,,,
2242,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
3908,TRUE,TRUE,,,,
2301,TRUE,TRUE,,,,
113,TRUE,TRUE,,,,
1701,TRUE,TRUE,,,,
270,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
2900,TRUE,TRUE,,,,
2950,TRUE,TRUE,,,,
2987,TRUE,TRUE,,,,
113,TRUE,TRUE,,,,
3358,TRUE,TRUE,,,,
2390,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
3854,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
3640,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
1915,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
354,TRUE,TRUE,,,,
3798,TRUE,TRUE,,,,
140,TRUE,TRUE,,,,
3934,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
2509,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
2868,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
3446,TRUE,TRUE,,,,
354,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
3085,TRUE,TRUE,,,,
229,TRUE,TRUE,,,,
3717,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
482,TRUE,TRUE,,,,
270,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
1975,TRUE,TRUE,,,,
312,TRUE,TRUE,,,,
2649,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
1834,TRUE,TRUE,,,,
2385,TRUE,TRUE,,,,
354,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
354,TRUE,TRUE,,,,
3824,TRUE,TRUE,,,,
354,TRUE,TRUE,,,,
3435,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
3189,TRUE,TRUE,,,,
113,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
3447,TRUE,TRUE,,,,
3638,TRUE,TRUE,,,,
3184,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
2394,TRUE,TRUE,,,,
354,TRUE,TRUE,,,,
1942,TRUE,TRUE,,,,
1920,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
2883,TRUE,TRUE,,,,
312,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
2218,TRUE,TRUE,,,,
3886,TRUE,TRUE,,,,
2568,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
3623,TRUE,TRUE,,,,
2211,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
113,TRUE,TRUE,,,,
2421,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
270,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
1707,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
3553,TRUE,TRUE,,,,
482,TRUE,TRUE,,,,
354,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
3125,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
354,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
312,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
2389,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
1688,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
3761,TRUE,TRUE,,,,
282,TRUE,TRUE,,,,
1750,TRUE,TRUE,,,,
1538,TRUE,TRUE,,,,
396,TRUE,TRUE,,,,
134,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
354,TRUE,TRUE,,,,
1532,TRUE,TRUE,,,,
229,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
2658,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
3853,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
309,TRUE,TRUE,,,,
2236,TRUE,TRUE,,,,
158,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
2538,TRUE,TRUE,,,,
1588,TRUE,TRUE,,,,
2880,TRUE,TRUE,,,,
3120,TRUE,TRUE,,,,
396,TRUE,TRUE,,,,
164,TRUE,TRUE,,,,
89,TRUE,TRUE,,,,
247,TRUE,TRUE,,,,
